global_id,left_track_id,left_count,right_track_id,right_count
281,2578,285,2884,415
282,2576,74,2894,75
283,2607,32,2921,17
284,2606,455,2918,458
285,2616,2373,2576,5713
286,2623,1462,3026,551
287,2622,11,2953,12
288,2628,808,2866,2097
289,2629,5334,3072,3678
290,2656,832,2927,3037
291,2669,747,2883,1705
292,2680,1785,2951,2412
293,2682,277,2875,1412
294,2730,590,2895,1715
295,2731,190,3017,346
296,2732,55,3015,193
297,2683,1225,3025,664
298,2744,623,2980,1690
299,2745,1035,3093,546
300,2746,267,3027,403
301,2759,1106,3032,1585
302,2805,179,3066,305
303,2804,612,3067,465
304,2854,1078,3030,2006
305,2857,1126,3132,1100
306,2864,249,3134,925
307,2866,134,3070,1736
308,2867,540,3143,1332
309,2868,1834,3142,1847
310,2869,37,3141,74
311,2872,256,3149,258
312,2874,813,3148,949
313,2873,142,3150,100
314,2876,1284,3126,2772
315,2881,482,3152,783
316,2883,596,3151,753
317,2909,392,3179,665
318,2911,762,3228,252
319,3008,192,3278,603
320,3023,19,3287,33
321,3005,1656,3330,479
322,3024,97,3288,91
323,3027,468,3293,489
324,3028,394,3271,1263
325,3035,605,3325,400
326,3044,2012,3297,1228
327,3045,287,3320,264
328,3047,1229,3328,950
329,3051,252,3292,839
330,3053,11,3324,10
331,3055,46,3326,40
332,3057,18,3329,15
333,3060,233,3331,168
334,3061,569,3332,535
335,3063,1627,3295,2844
336,3064,111,3334,151
337,3065,124,3333,248
338,3066,243,3335,292
339,3071,1516,3289,2909
340,3072,1267,3346,1187
341,3073,1542,3341,1173
342,3074,1838,3338,3015
343,3081,638,3354,452
344,3088,488,3359,517
345,3119,1671,3352,2158
346,3117,385,3360,530
347,3121,154,3391,191
348,3133,63,3421,241
349,3135,421,3431,239
350,3136,261,3424,277
351,3137,269,3456,309
352,3139,1395,3426,1300
353,3140,1456,3522,538
354,3142,1211,3344,2660
355,3145,596,3423,701
356,3168,1683,3454,1761
357,3177,14,3464,5
358,3178,114,3465,133
359,3181,2132,3427,2526
360,3183,392,3470,149
361,3188,1653,3526,558
362,3189,371,3498,263
363,3217,9,3503,37
364,3215,741,3501,777
365,3232,755,3530,502
366,3239,1641,3521,1645
367,3243,100,3528,89
368,3292,11,3573,8
369,3301,1019,3529,1190
370,3302,151,3153,7132
371,3303,1417,3578,1628
372,3305,165,3580,232
373,3307,53,3583,141
374,3316,325,3585,238
375,3315,444,3588,124
376,3318,316,3590,461
377,3323,799,3584,1680
378,3332,1204,3623,999
379,3333,606,3613,607
380,3334,384,3609,370
381,3335,1534,3619,1432
382,3342,2020,3594,2488
383,3343,182,3625,216
384,3345,924,3626,725
385,3347,532,3629,1635
386,3348,2081,3628,2304
387,3350,404,3631,442
388,3353,235,3634,245
389,3354,542,3633,642
390,3359,235,3637,334
391,3396,1537,3700,1520
392,3417,982,3705,1009
393,3418,1639,3630,1310
394,3425,732,3719,1053
395,3423,1240,3802,243
396,3466,280,3651,1166
397,3467,928,3635,2130
398,3473,556,3709,1146
399,3476,715,3781,986
400,3479,85,3795,134
401,3485,231,3803,235
402,3490,126,3807,127
403,4,3366,,0
404,10,82,,0
406,14,45,,0
407,15,105,,0
408,16,141,,0
409,17,5,,0
410,18,2854,,0
411,20,707,,0
412,22,28,,0
413,23,50,,0
414,24,1,,0
415,25,3,,0
416,29,12,,0
417,31,5,,0
418,32,110,,0
419,35,7,,0
420,38,25,,0
421,44,16,,0
422,46,481,,0
423,47,104,,0
424,48,119,,0
425,49,37,,0
426,50,64,,0
427,55,4,,0
428,56,215,,0
429,60,2,,0
430,66,49,,0
431,68,42,,0
432,73,26,,0
433,76,2,,0
434,78,147,,0
435,79,582,,0
436,102,31,,0
437,103,781,,0
438,104,13,,0
439,124,696,,0
440,125,12,,0
441,129,2,,0
442,130,7,,0
443,132,7,,0
444,172,60,,0
445,182,207,,0
446,187,4,,0
447,194,1,,0
448,201,1,,0
449,205,104,,0
450,226,6,,0
451,257,24,,0
452,259,195,,0
453,260,6,,0
454,266,7,,0
455,268,43,,0
456,269,92,,0
457,270,35,,0
458,271,562,,0
459,272,66,,0
460,273,115,,0
461,274,471,,0
462,275,334,,0
463,280,39,,0
464,316,622,,0
465,317,43,,0
466,354,443,,0
467,360,12,,0
468,385,455,,0
469,386,34,,0
470,405,438,,0
471,410,530,,0
472,414,2607,,0
473,459,13,,0
474,469,166,,0
475,539,1,,0
476,541,29,,0
477,542,87,,0
478,543,67,,0
479,544,21,,0
480,545,147,,0
481,546,361,,0
482,549,18,,0
483,575,354,,0
484,578,148,,0
485,582,698,,0
486,584,88,,0
487,585,73,,0
488,587,7,,0
489,589,73,,0
490,593,104,,0
491,594,1,,0
492,604,35,,0
493,611,56,,0
494,614,296,,0
495,616,136,,0
496,617,50,,0
497,626,3,,0
498,635,2517,,0
499,658,1,,0
500,664,1,,0
501,673,2,,0
502,681,227,,0
503,682,1994,,0
504,716,127,,0
505,732,9,,0
506,733,278,,0
507,795,320,,0
508,808,95,,0
509,809,71,,0
510,836,1,,0
511,868,368,,0
512,869,39,,0
513,873,331,,0
514,874,3,,0
515,885,23,,0
516,995,5,,0
517,996,1,,0
518,998,1,,0
519,1023,2,,0
520,1028,3,,0
521,1029,29,,0
522,1034,300,,0
523,1035,1584,,0
524,1049,80,,0
525,1077,916,,0
526,1101,291,,0
527,1103,234,,0
528,1104,1188,,0
529,1106,658,,0
530,1110,142,,0
531,1111,318,,0
532,1115,43,,0
533,1117,214,,0
534,1118,46,,0
535,1123,337,,0
536,1158,15,,0
537,1159,14,,0
538,1160,9,,0
539,1161,9,,0
540,1162,4,,0
541,1197,443,,0
542,1200,814,,0
543,1204,19,,0
544,1221,829,,0
545,1223,1,,0
546,1252,78,,0
547,1277,140,,0
548,1278,138,,0
549,1279,103,,0
550,1310,1055,,0
551,1313,2,,0
552,1316,354,,0
553,1336,3,,0
554,1356,19,,0
555,1357,673,,0
556,1358,8,,0
557,1371,35,,0
558,1372,5,,0
559,1373,135,,0
560,1380,20,,0
561,1400,27,,0
562,1401,11,,0
563,1418,1,,0
564,1427,34,,0
565,1457,433,,0
566,1461,610,,0
567,1462,19,,0
568,1465,1,,0
569,1466,4,,0
570,1476,3,,0
571,1479,16,,0
572,1480,48,,0
573,1482,16,,0
574,1483,90,,0
575,1484,314,,0
576,1502,17,,0
577,1503,251,,0
578,1504,146,,0
579,1505,76,,0
580,1506,136,,0
581,1507,100,,0
582,1513,181,,0
583,1526,11,,0
584,1527,183,,0
585,1529,1190,,0
586,1556,2,,0
587,1557,280,,0
588,1558,14,,0
589,1563,195,,0
590,1570,14,,0
591,1571,704,,0
592,1573,99,,0
593,1575,39,,0
594,1597,415,,0
595,1600,520,,0
596,1603,2,,0
597,1606,1,,0
598,1617,19,,0
599,1642,18,,0
600,1643,427,,0
601,1644,101,,0
602,1647,133,,0
603,1648,1669,,0
604,1698,26,,0
605,1700,14,,0
606,1701,1479,,0
607,1702,14,,0
608,1723,11,,0
609,1724,15,,0
610,1778,438,,0
611,1806,73,,0
612,1817,98,,0
613,1822,199,,0
614,1824,134,,0
615,1825,790,,0
616,1828,537,,0
617,1902,313,,0
618,1905,46,,0
619,1929,10,,0
620,1930,9,,0
621,1931,13,,0
622,1932,4,,0
623,1934,111,,0
624,1936,366,,0
625,1938,889,,0
626,1939,8,,0
627,1940,81,,0
628,1942,32,,0
629,1943,166,,0
630,1944,87,,0
631,1946,17,,0
632,1947,21,,0
633,1948,3,,0
634,1949,88,,0
635,1951,34,,0
636,1953,102,,0
637,1954,51,,0
638,1955,7,,0
639,1957,5,,0
640,1958,87,,0
641,1959,663,,0
642,1960,1,,0
643,1962,339,,0
644,1963,89,,0
645,1967,13,,0
646,1968,76,,0
647,1969,34,,0
648,1970,20,,0
649,1972,30,,0
650,1973,56,,0
651,1974,184,,0
652,1976,46,,0
653,1977,6,,0
654,1978,1117,,0
655,1979,257,,0
656,1980,256,,0
657,1981,340,,0
658,1984,55,,0
659,1986,11,,0
660,1987,38,,0
661,1989,21,,0
662,1991,72,,0
663,1993,93,,0
664,1994,132,,0
665,1997,1,,0
666,1998,76,,0
667,2000,4,,0
668,2002,635,,0
669,2003,333,,0
670,2004,132,,0
671,2005,197,,0
672,2006,363,,0
673,2007,57,,0
674,2009,479,,0
675,2010,25,,0
676,2011,7,,0
677,2015,1156,,0
678,2016,234,,0
679,2017,6,,0
680,2018,24,,0
681,2020,12,,0
682,2021,7,,0
683,2023,124,,0
684,2024,129,,0
685,2025,25,,0
686,2026,74,,0
687,2027,16,,0
688,2028,2,,0
689,2030,3,,0
690,2031,9,,0
691,2033,50,,0
692,2035,74,,0
693,2036,5,,0
694,2037,6,,0
695,2038,23,,0
696,2039,2031,,0
697,2040,222,,0
698,2041,36,,0
699,2042,119,,0
700,2044,1,,0
701,2045,892,,0
702,2046,1533,,0
703,2048,43,,0
704,2050,264,,0
705,2051,39,,0
706,2053,3,,0
707,2054,3,,0
708,2055,83,,0
709,2056,85,,0
710,2057,17,,0
711,2058,47,,0
712,2059,33,,0
713,2060,2,,0
714,2061,63,,0
715,2063,10,,0
716,2064,539,,0
717,2065,93,,0
718,2066,79,,0
719,2069,26,,0
720,2070,56,,0
721,2071,802,,0
722,2080,453,,0
723,2081,1498,,0
724,2083,1026,,0
725,2085,1405,,0
726,2092,47,,0
727,2094,157,,0
728,2099,23,,0
729,2117,162,,0
730,2130,1,,0
731,2132,8,,0
732,2133,19,,0
733,2134,17,,0
734,2135,760,,0
735,2136,299,,0
736,2156,1,,0
737,2157,6,,0
738,2158,101,,0
739,2159,12,,0
740,2169,8,,0
741,2181,32,,0
742,2184,16,,0
743,2185,744,,0
744,2186,455,,0
745,2215,384,,0
746,2224,1,,0
747,2233,37,,0
748,2234,268,,0
749,2235,920,,0
750,2242,21,,0
751,2243,144,,0
752,2246,466,,0
753,2248,24,,0
754,2250,106,,0
755,2252,70,,0
756,2253,65,,0
757,2263,28,,0
758,2266,34,,0
759,2284,332,,0
760,2289,1611,,0
761,2290,13,,0
762,2291,4055,,0
763,2323,387,,0
764,2324,463,,0
765,2325,135,,0
766,2344,35,,0
767,2345,948,,0
768,2346,18,,0
769,2354,268,,0
770,2359,19,,0
771,2363,2,,0
772,2365,1,,0
773,2366,11,,0
774,2375,587,,0
775,2454,1,,0
776,2457,98,,0
777,2458,102,,0
778,2465,1,,0
779,2474,2106,,0
780,2477,3,,0
781,2488,26,,0
782,2487,1,,0
783,2511,9,,0
784,2539,23,,0
785,2540,17,,0
786,2541,4,,0
787,2542,4,,0
788,2546,1,,0
789,2547,17,,0
790,2548,18,,0
791,2549,64,,0
792,2550,24,,0
793,2551,104,,0
794,2553,148,,0
795,2554,341,,0
796,2557,60,,0
797,2558,249,,0
798,2559,42,,0
799,2560,99,,0
800,2561,818,,0
801,2564,19,,0
802,2565,666,,0
803,2586,296,,0
804,2602,1,,0
805,2603,3,,0
806,2611,629,,0
807,2612,76,,0
808,2670,350,,0
809,2684,5227,,0
810,2701,8,,0
811,2702,1,,0
812,2703,499,,0
813,2704,1,,0
814,2705,5,,0
815,2729,4,,0
816,2742,264,,0
817,2743,10,,0
818,2747,542,,0
819,2748,404,,0
820,2813,12,,0
821,2814,66,,0
822,2843,1,,0
823,2844,4,,0
824,2847,12,,0
825,2848,16,,0
826,2849,311,,0
827,2850,725,,0
828,2852,211,,0
829,2853,18,,0
830,2855,289,,0
831,2856,245,,0
832,2858,600,,0
833,2859,17,,0
834,2860,200,,0
835,2861,1179,,0
836,2862,384,,0
837,2863,51,,0
838,2865,24,,0
839,2870,11,,0
840,2871,58,,0
841,2875,569,,0
842,2878,360,,0
843,2882,18,,0
844,2908,3,,0
845,2954,24,,0
846,2955,258,,0
847,2958,702,,0
848,2966,1,,0
849,2969,19,,0
850,3006,6,,0
851,3007,1,,0
852,3025,378,,0
853,3026,408,,0
854,3029,323,,0
855,3031,667,,0
856,3034,262,,0
857,3043,22,,0
858,3046,41,,0
859,3048,97,,0
860,3049,97,,0
861,3052,56,,0
862,3054,100,,0
863,3056,7,,0
864,3058,130,,0
865,3059,92,,0
866,3062,108,,0
867,3067,81,,0
868,3075,1121,,0
869,3076,19,,0
870,3077,1286,,0
871,3078,39,,0
872,3079,54,,0
873,3080,34,,0
874,3083,331,,0
875,3084,9,,0
876,3085,266,,0
877,3086,347,,0
878,3087,60,,0
879,3118,35,,0
880,3123,269,,0
881,3124,58,,0
882,3125,119,,0
883,3126,635,,0
884,3127,56,,0
885,3129,28,,0
886,3130,207,,0
887,3131,87,,0
888,3132,230,,0
889,3134,130,,0
890,3138,282,,0
891,3141,1516,,0
892,3143,31,,0
893,3144,17,,0
894,3169,14,,0
895,3182,20,,0
896,3184,644,,0
897,3185,18,,0
898,3186,77,,0
899,3187,699,,0
900,3216,199,,0
901,3233,3,,0
902,3237,7,,0
903,3238,2,,0
904,3240,4,,0
905,3242,9,,0
906,3244,694,,0
907,3246,49,,0
908,3258,149,,0
909,3291,1,,0
910,3293,12,,0
911,3300,3,,0
912,3304,6,,0
913,3306,90,,0
914,3308,601,,0
915,3309,32,,0
916,3310,5,,0
917,3311,29,,0
918,3312,151,,0
919,3313,1007,,0
920,3314,554,,0
921,3317,9,,0
922,3319,28,,0
923,3320,84,,0
924,3321,13,,0
925,3324,135,,0
926,3325,461,,0
927,3326,35,,0
928,3327,1103,,0
929,3328,168,,0
930,3338,30,,0
931,3341,71,,0
932,3344,129,,0
933,3346,408,,0
934,3349,51,,0
935,3351,2,,0
936,3355,516,,0
937,3360,36,,0
938,3361,1567,,0
939,3380,357,,0
940,3419,1054,,0
941,3420,243,,0
942,3421,11,,0
943,3422,48,,0
944,3445,1097,,0
945,3465,543,,0
946,3474,5,,0
947,3477,131,,0
948,3478,150,,0
949,3480,200,,0
950,3481,54,,0
951,3483,316,,0
952,3484,8,,0
953,3486,230,,0
954,3487,218,,0
955,3488,208,,0
956,3489,35,,0
957,3491,85,,0
958,3492,26,,0
959,3493,20,,0
960,,0,2,4369
961,,0,12,2234
963,,0,15,37
964,,0,18,138
965,,0,19,172
966,,0,20,35
967,,0,21,75
968,,0,23,37
969,,0,26,23
970,,0,25,60
971,,0,27,114
972,,0,28,26
973,,0,29,13
974,,0,30,138
975,,0,32,11
976,,0,34,134
977,,0,35,391
978,,0,38,90
979,,0,40,5
980,,0,47,17
981,,0,52,99
982,,0,53,1048
983,,0,54,45
984,,0,60,17
985,,0,62,8
986,,0,64,21
987,,0,65,186
988,,0,67,252
989,,0,68,58
990,,0,84,12
991,,0,85,1
992,,0,90,6
993,,0,114,25
994,,0,122,714
995,,0,133,20
996,,0,134,17
997,,0,136,1858
998,,0,140,11
999,,0,142,1
1000,,0,143,4
1001,,0,144,340
1002,,0,146,19
1003,,0,201,13
1004,,0,205,6
1005,,0,212,44
1006,,0,213,5
1007,,0,215,4346
1008,,0,236,2
1009,,0,237,9
1010,,0,263,1
1011,,0,295,142
1012,,0,306,79
1013,,0,321,2
1014,,0,322,38
1015,,0,323,94
1016,,0,326,31
1017,,0,327,1077
1018,,0,329,760
1019,,0,357,194
1020,,0,359,223
1021,,0,393,15
1022,,0,435,210
1023,,0,440,5
1024,,0,570,1
1025,,0,573,41
1026,,0,578,54
1027,,0,600,97
1028,,0,610,325
1029,,0,613,84
1030,,0,617,56
1031,,0,618,243
1032,,0,621,8
1033,,0,623,25
1034,,0,624,111
1035,,0,625,74
1036,,0,626,5
1037,,0,627,29
1038,,0,628,921
1039,,0,666,8368
1040,,0,669,1
1041,,0,673,24
1042,,0,677,8
1043,,0,685,1
1044,,0,686,12
1045,,0,751,12
1046,,0,799,1139
1047,,0,817,977
1048,,0,847,204
1049,,0,848,3
1050,,0,850,6
1051,,0,877,6
1052,,0,926,23
1053,,0,927,26
1054,,0,963,1
1055,,0,1011,9
1056,,0,1018,2
1057,,0,1022,2
1058,,0,1048,39
1059,,0,1052,7
1060,,0,1053,560
1061,,0,1054,321
1062,,0,1055,7
1063,,0,1056,27
1064,,0,1078,650
1065,,0,1117,56
1066,,0,1181,23
1067,,0,1182,4
1068,,0,1184,34
1069,,0,1185,918
1070,,0,1189,8
1071,,0,1190,610
1072,,0,1191,39
1073,,0,1234,1
1074,,0,1283,2
1075,,0,1284,290
1076,,0,1286,26
1077,,0,1289,42
1078,,0,1291,1419
1079,,0,1295,31
1080,,0,1296,1
1081,,0,1297,46
1082,,0,1300,37
1083,,0,1302,428
1084,,0,1304,645
1085,,0,1305,69
1086,,0,1306,210
1087,,0,1308,12
1088,,0,1340,15
1089,,0,1342,14
1090,,0,1343,78
1091,,0,1346,6
1092,,0,1349,309
1093,,0,1352,435
1094,,0,1368,1
1095,,0,1381,1
1096,,0,1386,14
1097,,0,1402,49
1098,,0,1403,102
1099,,0,1434,110
1100,,0,1435,4
1101,,0,1437,3
1102,,0,1440,217
1103,,0,1475,13
1104,,0,1476,579
1105,,0,1478,3
1106,,0,1480,10
1107,,0,1482,4
1108,,0,1523,20
1109,,0,1524,836
1110,,0,1532,150
1111,,0,1541,18
1112,,0,1561,27
1113,,0,1572,2
1114,,0,1573,1
1115,,0,1603,550
1116,,0,1605,3
1117,,0,1606,495
1118,,0,1609,7
1119,,0,1610,73
1120,,0,1612,38
1121,,0,1615,2
1122,,0,1616,14
1123,,0,1617,1
1124,,0,1619,11
1125,,0,1622,26
1126,,0,1627,127
1127,,0,1634,52
1128,,0,1635,16
1129,,0,1636,5
1130,,0,1643,385
1131,,0,1674,19
1132,,0,1675,242
1133,,0,1688,18
1134,,0,1707,2
1135,,0,1709,79
1136,,0,1710,216
1137,,0,1716,1
1138,,0,1719,143
1139,,0,1727,1
1140,,0,1728,1
1141,,0,1731,11
1142,,0,1763,19
1143,,0,1787,1
1144,,0,1789,13
1145,,0,1794,158
1146,,0,1805,11
1147,,0,1822,5
1148,,0,1823,3
1149,,0,1855,91
1150,,0,1857,1
1151,,0,1859,22
1152,,0,1861,134
1153,,0,1863,11
1154,,0,1871,1
1155,,0,1873,1
1156,,0,1875,44
1157,,0,1876,172
1158,,0,1877,1252
1159,,0,1879,72
1160,,0,1881,885
1161,,0,1918,1
1162,,0,1919,240
1163,,0,1923,2
1164,,0,1929,1
1165,,0,1930,8
1166,,0,1931,22
1167,,0,1951,12
1168,,0,1953,15
1169,,0,1954,109
1170,,0,2006,2
1171,,0,2007,59
1172,,0,2034,644
1173,,0,2044,68
1174,,0,2049,2
1175,,0,2051,120
1176,,0,2107,181
1177,,0,2128,14
1178,,0,2130,49
1179,,0,2131,83
1180,,0,2132,144
1181,,0,2136,2604
1182,,0,2137,31
1183,,0,2138,247
1184,,0,2141,894
1185,,0,2144,26
1186,,0,2146,91
1187,,0,2149,46
1188,,0,2152,17
1189,,0,2153,1
1190,,0,2154,219
1191,,0,2156,22
1192,,0,2158,1184
1193,,0,2160,911
1194,,0,2161,111
1195,,0,2162,38
1196,,0,2163,13
1197,,0,2164,4
1198,,0,2165,3
1199,,0,2166,64
1200,,0,2167,608
1201,,0,2169,238
1202,,0,2170,5
1203,,0,2171,131
1204,,0,2172,14
1205,,0,2175,183
1206,,0,2181,99
1207,,0,2182,41
1208,,0,2184,6
1209,,0,2185,43
1210,,0,2186,4
1211,,0,2187,28
1212,,0,2188,151
1213,,0,2189,14
1214,,0,2191,4
1215,,0,2192,20
1216,,0,2193,50
1217,,0,2194,1
1218,,0,2195,351
1219,,0,2197,101
1220,,0,2199,49
1221,,0,2200,66
1222,,0,2201,88
1223,,0,2203,464
1224,,0,2204,14
1225,,0,2205,72
1226,,0,2207,1
1227,,0,2208,44
1228,,0,2209,115
1229,,0,2210,3
1230,,0,2211,215
1231,,0,2212,211
1232,,0,2213,318
1233,,0,2214,269
1234,,0,2217,36
1235,,0,2218,23
1236,,0,2219,73
1237,,0,2221,378
1238,,0,2223,97
1239,,0,2225,114
1240,,0,2226,10
1241,,0,2227,33
1242,,0,2228,31
1243,,0,2230,30
1244,,0,2232,43
1245,,0,2233,106
1246,,0,2235,1673
1247,,0,2236,24
1248,,0,2237,52
1249,,0,2239,20
1250,,0,2240,1
1251,,0,2242,66
1252,,0,2244,50
1253,,0,2245,6
1254,,0,2246,434
1255,,0,2247,171
1256,,0,2248,151
1257,,0,2249,5
1258,,0,2250,151
1259,,0,2251,54
1260,,0,2254,570
1261,,0,2255,12
1262,,0,2256,150
1263,,0,2257,73
1264,,0,2258,338
1265,,0,2261,27
1266,,0,2262,676
1267,,0,2267,597
1268,,0,2270,468
1269,,0,2273,368
1270,,0,2274,23
1271,,0,2276,183
1272,,0,2278,5
1273,,0,2283,316
1274,,0,2286,179
1275,,0,2287,25
1276,,0,2308,160
1277,,0,2326,7
1278,,0,2327,24
1279,,0,2328,86
1280,,0,2331,56
1281,,0,2332,168
1282,,0,2333,314
1283,,0,2345,203
1284,,0,2368,13
1285,,0,2370,11
1286,,0,2377,3
1287,,0,2384,48
1288,,0,2385,794
1289,,0,2386,1390
1290,,0,2387,57
1291,,0,2388,10
1292,,0,2389,791
1293,,0,2390,34
